team,team_id,games,wins,losses,games_reached_80_wp,games_reached_85_wp,games_reached_90_wp,games_reached_95_wp,games_fell_to_20_wp,games_fell_to_15_wp,games_fell_to_10_wp,games_fell_to_5_wp,games_led_after_6,games_biggest_lead_3_plus,games_scored_5_plus,games_trailed_after_6,rule_based_losses,late_lead_losses,big_lead_losses,wasted_offense_losses,late_collapses,wp_80_losses,wp_85_losses,wp_90_losses,wp_95_losses,late_lead_wins,big_lead_wins,scored_5_plus_wins,trailed_after_6_wins,wp_20_comeback_wins,wp_15_comeback_wins,wp_10_comeback_wins,wp_5_comeback_wins,rule_based_per_loss,wp_80_per_loss,wp_85_per_loss,wp_90_per_loss,wp_95_per_loss,late_lead_loss_rate,big_lead_loss_rate,wasted_offense_loss_rate,wp_80_loss_rate,wp_85_loss_rate,wp_90_loss_rate,wp_95_loss_rate,late_lead_win_rate,big_lead_win_rate,scored_5_plus_win_rate,trailed_after_6_win_rate,wp_20_comeback_rate,wp_15_comeback_rate,wp_10_comeback_rate,wp_5_comeback_rate,games_reached_80_wp_rank,games_reached_85_wp_rank,games_reached_90_wp_rank,games_reached_95_wp_rank,games_fell_to_20_wp_rank,games_fell_to_15_wp_rank,games_fell_to_10_wp_rank,games_fell_to_5_wp_rank,games_led_after_6_rank,games_biggest_lead_3_plus_rank,games_scored_5_plus_rank,games_trailed_after_6_rank,rule_based_losses_rank,late_lead_losses_rank,big_lead_losses_rank,wasted_offense_losses_rank,wp_80_losses_rank,wp_85_losses_rank,wp_90_losses_rank,wp_95_losses_rank,late_lead_wins_rank,big_lead_wins_rank,scored_5_plus_wins_rank,trailed_after_6_wins_rank,wp_20_comeback_wins_rank,wp_15_comeback_wins_rank,wp_10_comeback_wins_rank,wp_5_comeback_wins_rank,rule_based_per_loss_rank,wp_80_per_loss_rank,wp_85_per_loss_rank,wp_90_per_loss_rank,wp_95_per_loss_rank,late_lead_loss_rate_rank,big_lead_loss_rate_rank,wasted_offense_loss_rate_rank,wp_80_loss_rate_rank,wp_85_loss_rate_rank,wp_90_loss_rate_rank,wp_95_loss_rate_rank,late_lead_win_rate_rank,big_lead_win_rate_rank,scored_5_plus_win_rate_rank,trailed_after_6_win_rate_rank,wp_20_comeback_rate_rank,wp_15_comeback_rate_rank,wp_10_comeback_rate_rank,wp_5_comeback_rate_rank
Arizona Diamondbacks,109,162,80,82,100,88,84,75,94,87,81,72,78,64,87,66,33,17,11,26,17,22,15,12,7,61,53,61,9,13,9,6,6,0.402,0.268,0.183,0.146,0.085,0.218,0.172,0.299,0.22,0.17,0.143,0.093,0.782,0.828,0.701,0.136,0.138,0.103,0.074,0.083,8,12,8,10,10,10,11,10,6,9,2,19,1,1,1,1,1,1,1,1,16,17,5,11,12,8,6,1,1,1,2,1,1,2,3,3,3,2,1,1,29,28,28,13,14,10,7,1
Cincinnati Reds,113,162,83,79,101,95,86,76,86,80,76,63,74,66,72,65,26,10,9,19,10,18,15,9,5,64,57,53,5,7,5,3,0,0.329,0.228,0.19,0.114,0.063,0.135,0.136,0.264,0.178,0.158,0.105,0.066,0.865,0.864,0.736,0.077,0.081,0.062,0.039,0.0,6,5,7,8,18,16,15,21,11,6,8,22,3,8,2,4,2,1,2,2,12,8,18,25,27,27,21,26,2,2,1,2,2,13,5,4,6,3,3,2,18,26,27,25,28,27,23,26
Chicago White Sox,145,162,60,102,76,68,63,55,106,100,97,82,61,50,55,78,25,14,6,12,14,18,12,8,3,47,44,43,6,9,6,4,1,0.245,0.176,0.118,0.078,0.029,0.23,0.12,0.218,0.237,0.176,0.127,0.055,0.77,0.88,0.782,0.077,0.085,0.06,0.041,0.012,29,29,27,28,4,3,2,3,27,28,27,5,5,2,12,19,2,3,3,4,28,27,27,24,23,18,16,18,18,8,7,4,10,1,9,11,2,1,2,4,30,22,20,25,27,28,22,24
Chicago Cubs,112,162,92,70,102,95,90,84,76,75,71,63,88,71,72,51,21,10,6,12,10,11,9,7,3,78,65,60,4,7,6,6,4,0.3,0.157,0.129,0.1,0.043,0.114,0.085,0.167,0.108,0.095,0.078,0.036,0.886,0.915,0.833,0.078,0.092,0.08,0.085,0.063,4,5,4,4,28,24,20,21,1,4,8,30,11,8,12,19,17,6,4,4,2,4,7,28,27,18,6,4,5,13,6,3,5,18,16,22,22,14,5,8,12,15,8,24,26,17,4,2
Atlanta Braves,144,162,76,86,87,79,77,68,103,94,80,68,66,56,67,75,16,10,6,12,10,11,8,6,2,56,50,55,12,21,16,8,2,0.186,0.128,0.093,0.07,0.023,0.152,0.107,0.179,0.126,0.101,0.078,0.029,0.848,0.893,0.821,0.16,0.204,0.17,0.1,0.029,19,22,19,15,5,5,13,14,22,20,17,6,24,8,12,19,17,10,5,10,25,21,14,4,2,1,1,9,27,20,13,9,17,7,13,21,16,12,5,14,24,18,10,7,2,1,2,15
Tampa Bay Rays,139,162,77,85,91,84,74,67,93,87,81,70,71,62,61,73,21,14,7,10,14,17,12,6,2,57,55,51,9,13,9,6,3,0.247,0.2,0.141,0.071,0.024,0.197,0.113,0.164,0.187,0.143,0.081,0.03,0.803,0.887,0.836,0.123,0.14,0.103,0.074,0.043,17,15,21,16,13,10,11,12,14,12,23,9,11,2,7,23,5,3,5,10,22,13,20,11,12,8,6,5,17,5,3,8,15,4,10,24,4,5,4,11,27,21,7,17,13,10,7,5
Los Angeles Dodgers,119,162,93,69,106,98,89,81,80,70,61,54,87,74,90,58,22,10,6,15,10,15,8,5,3,77,68,75,8,16,9,3,2,0.319,0.217,0.116,0.072,0.043,0.115,0.081,0.167,0.142,0.082,0.056,0.037,0.885,0.919,0.833,0.138,0.2,0.129,0.049,0.037,1,3,6,6,26,27,30,29,2,2,1,27,9,8,12,10,7,10,7,4,3,2,1,18,4,8,21,9,3,4,8,7,5,17,19,22,13,18,16,7,14,12,8,12,3,4,19,8
Toronto Blue Jays,141,162,94,68,101,93,90,76,88,78,69,57,79,66,75,66,10,6,3,4,6,11,7,5,0,73,63,71,15,21,13,7,2,0.147,0.162,0.103,0.074,0.0,0.076,0.045,0.053,0.109,0.075,0.056,0.0,0.924,0.955,0.947,0.227,0.239,0.167,0.101,0.035,6,7,4,8,15,18,21,26,5,6,5,19,30,22,22,30,17,16,7,26,5,6,2,1,2,2,3,9,30,11,12,6,26,26,24,30,21,20,16,26,5,7,1,2,1,2,1,11
Texas Rangers,140,162,81,81,93,82,78,66,82,77,69,64,75,56,63,61,19,11,2,10,11,13,7,5,2,64,54,53,8,8,6,2,1,0.235,0.16,0.086,0.062,0.025,0.147,0.036,0.159,0.14,0.085,0.064,0.03,0.853,0.964,0.841,0.131,0.098,0.078,0.029,0.016,14,18,15,18,25,20,21,19,10,20,21,24,20,4,26,23,11,16,7,10,12,16,18,18,26,18,25,18,20,12,19,11,13,8,27,25,14,17,13,11,23,4,6,14,25,20,26,20
San Francisco Giants,137,162,81,81,93,80,73,62,91,83,75,65,69,57,66,72,25,10,8,17,10,16,9,5,4,59,49,49,12,14,10,7,2,0.309,0.198,0.111,0.062,0.049,0.145,0.14,0.258,0.172,0.113,0.068,0.065,0.855,0.86,0.742,0.167,0.154,0.12,0.093,0.031,14,20,23,23,14,15,17,17,18,16,18,11,5,8,4,6,6,6,7,3,19,24,23,4,10,5,3,9,4,6,9,11,3,9,4,6,7,8,10,3,21,27,25,4,9,6,3,14
